Client,Date,Courtier,Prix Courtier,Comission Courtier,Limite D&O,Limite E&O ,Prix Police D'Assurance
1263,1/1/2016,Courtier A,9563,0.1,2000000,1000000,105201
1271,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1285,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
1288,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1332,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1334,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
1366,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1371,1/1/2016,Courtier A,5150,0.1,500000,100000,56650
1374,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1387,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
1397,1/1/2016,Courtier A,5150,0.1,500000,100000,56650
1400,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1409,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
1421,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
1428,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1435,1/1/2016,Courtier A,7081,0.1,1000000,250000,77895
1439,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1460,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1470,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1477,1/1/2016,Courtier A,4781,0.1,500000,100000,52600
1486,1/1/2016,Courtier A,6575,0.1,1000000,250000,72325
1537,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1540,1/1/2016,Courtier A,4639,0.1,500000,100000,51036
1544,1/1/2016,Courtier A,4440,0.1,500000,100000,48840
1558,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1559,1/1/2016,Courtier A,4928,0.1,500000,100000,54212
1571,1/1/2016,Courtier A,7097,0.1,1000000,250000,78073
1573,1/1/2016,Courtier A,4440,0.1,500000,100000,48840
1582,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1589,1/1/2016,Courtier A,6379,0.1,1500000,500000,70175
1597,1/1/2016,Courtier A,6379,0.1,1000000,250000,70175
1603,1/1/2016,Courtier A,6105,0.1,1000000,250000,67155
1613,1/1/2016,Courtier A,5150,0.1,500000,100000,56650
1617,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1642,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1657,1/1/2016,Courtier A,4440,0.1,500000,100000,48840
1662,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1669,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1673,1/1/2016,Courtier A,4308,0.1,1000000,250000,47388
1678,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1680,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1686,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1692,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1702,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1721,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1731,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1734,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
1740,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
1746,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1751,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1758,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1763,1/1/2016,Courtier A,5320,0.1,500000,100000,58520
1770,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1781,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1785,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1789,1/1/2016,Courtier A,10640,0.1,2000000,1000000,117040
1800,1/1/2016,Courtier A,6105,0.1,1500000,500000,67155
1802,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1803,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1820,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1827,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1848,1/1/2016,Courtier A,5150,0.1,500000,100000,56650
1853,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1858,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1877,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
1881,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
1883,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1911,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
1922,1/1/2016,Courtier A,10664,0.1,2000000,1000000,117308
1953,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
1969,1/1/2016,Courtier A,4639,0.1,500000,100000,51036
1980,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
1991,1/1/2016,Courtier A,5307,0.1,1000000,250000,58386
1992,1/1/2016,Courtier A,9563,0.1,2000000,1000000,105201
1997,1/1/2016,Courtier A,4781,0.1,500000,100000,52600
1999,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2002,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2004,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2007,1/1/2016,Courtier A,4781,0.1,500000,100000,52600
2023,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2024,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
2026,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2038,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2054,1/1/2016,Courtier A,4639,0.1,500000,100000,51036
2056,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2069,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2079,1/1/2016,Courtier A,8616,0.1,2000000,1000000,94776
2087,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2118,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2135,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2145,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2148,1/1/2016,Courtier A,5150,0.1,500000,100000,56650
2153,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2180,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2184,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2192,1/1/2016,Courtier A,5150,0.1,500000,100000,56650
2205,1/1/2016,Courtier A,4996,0.1,1000000,250000,54966
2210,1/1/2016,Courtier A,5150,0.1,1000000,250000,56650
2222,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2228,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2229,1/1/2016,Courtier A,4639,0.1,500000,100000,51036
2235,1/1/2016,Courtier A,4781,0.1,500000,100000,52600
2237,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2240,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2250,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2252,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
2277,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
2289,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2291,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2316,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2326,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2330,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2341,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2342,1/1/2016,Courtier A,6379,0.1,1000000,250000,70175
2358,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2370,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
2386,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2391,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2408,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2411,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2432,1/1/2016,Courtier A,7081,0.1,1500000,500000,77895
2433,1/1/2016,Courtier A,4996,0.1,500000,100000,54966
2435,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2436,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2437,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
2439,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
2440,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2451,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
2457,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2469,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2492,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2508,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2514,1/1/2016,Courtier A,4781,0.1,500000,100000,52600
2515,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2520,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2522,1/1/2016,Courtier A,10640,0.1,2000000,1000000,117040
2540,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2543,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2551,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2556,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2578,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2584,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2585,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2586,1/1/2016,Courtier A,4996,0.1,1000000,250000,54966
2602,1/1/2016,Courtier A,5307,0.1,1000000,250000,58386
2614,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2616,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2621,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2631,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2638,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2670,1/1/2016,Courtier A,6105,0.1,1500000,500000,67155
2671,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2687,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2707,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2730,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2743,1/1/2016,Courtier A,8616,0.1,1500000,500000,94776
2748,1/1/2016,Courtier A,6379,0.1,1500000,500000,70175
2754,1/1/2016,Courtier A,4639,0.1,500000,100000,51036
2772,1/1/2016,Courtier A,8000,0.1,1500000,500000,88000
2782,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2793,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2810,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2811,1/1/2016,Courtier A,6105,0.1,1000000,250000,67155
2812,1/1/2016,Courtier A,7081,0.1,1000000,250000,77895
2857,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2862,1/1/2016,Courtier A,8880,0.1,1500000,500000,97680
2877,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
2880,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2899,1/1/2016,Courtier A,4639,0.1,1000000,250000,51036
2904,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2907,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2911,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2934,1/1/2016,Courtier A,5923,0.1,1000000,250000,65158
2935,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2937,1/1/2016,Courtier A,4440,0.1,500000,100000,48840
2951,1/1/2016,Courtier A,8616,0.1,2000000,1000000,94776
2959,1/1/2016,Courtier A,7081,0.1,1000000,250000,77895
2960,1/1/2016,Courtier A,4308,0.1,500000,100000,47388
2963,1/1/2016,Courtier A,6776,0.1,1500000,500000,74542
2969,1/1/2016,Courtier A,9993,0.1,2000000,1000000,109933
2979,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2993,1/1/2016,Courtier A,4000,0.1,500000,100000,44000
2998,1/1/2016,Courtier A,5500,0.1,1000000,250000,60500
2,1/1/2016,Courtier B,3645,0.05,1500000,500000,76558
3,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
21,1/1/2016,Courtier B,2952,0.05,1000000,250000,61994
23,1/1/2016,Courtier B,4980,0.05,2000000,1000000,104595
29,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
31,1/1/2016,Courtier B,4294,0.05,1500000,500000,90174
37,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
50,1/1/2016,Courtier B,2563,0.05,500000,100000,53832
52,1/1/2016,Courtier B,2312,0.05,500000,100000,48558
54,1/1/2016,Courtier B,2312,0.05,500000,100000,48558
62,1/1/2016,Courtier B,4980,0.05,2000000,1000000,104595
63,1/1/2016,Courtier B,2651,0.05,500000,100000,55678
67,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
69,1/1/2016,Courtier B,3537,0.05,1500000,500000,74282
72,1/1/2016,Courtier B,2750,0.05,1000000,250000,57750
73,1/1/2016,Courtier B,3637,0.05,1500000,500000,76383
79,1/1/2016,Courtier B,4294,0.05,1500000,500000,90174
81,1/1/2016,Courtier B,2750,0.05,1000000,250000,57750
83,1/1/2016,Courtier B,5126,0.05,2000000,1000000,107664
89,1/1/2016,Courtier B,4760,0.05,1500000,500000,99967
90,1/1/2016,Courtier B,5145,0.05,2000000,1000000,108047
93,1/1/2016,Courtier B,3529,0.05,1500000,500000,74112
99,1/1/2016,Courtier B,4000,0.05,1500000,500000,84000
113,1/1/2016,Courtier B,3641,0.05,2000000,1000000,76462
128,1/1/2016,Courtier B,2312,0.05,500000,100000,48558
129,1/1/2016,Courtier B,3645,0.05,1500000,500000,76558
131,1/1/2016,Courtier B,2563,0.05,1000000,250000,53832
132,1/1/2016,Courtier B,2750,0.05,1000000,250000,57750
140,1/1/2016,Courtier B,4294,0.05,2000000,1000000,90174
143,1/1/2016,Courtier B,3641,0.05,1500000,500000,76462
147,1/1/2016,Courtier B,4624,0.05,1500000,500000,97117
148,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
155,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
157,1/1/2016,Courtier B,3179,0.05,1000000,250000,66768
169,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
170,1/1/2016,Courtier B,2572,0.05,1000000,250000,54023
171,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
172,1/1/2016,Courtier B,2383,0.05,500000,100000,50046
173,1/1/2016,Courtier B,2572,0.05,500000,100000,54023
179,1/1/2016,Courtier B,2147,0.05,500000,100000,45087
185,1/1/2016,Courtier B,2147,0.05,500000,100000,45087
186,1/1/2016,Courtier B,2952,0.05,1000000,250000,61994
188,1/1/2016,Courtier B,3424,0.05,1000000,250000,71909
190,1/1/2016,Courtier B,2312,0.05,500000,100000,48558
191,1/1/2016,Courtier B,3524,0.05,1500000,500000,74019
196,1/1/2016,Courtier B,2952,0.05,1000000,250000,61994
202,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
206,1/1/2016,Courtier B,2490,0.05,500000,100000,52297
208,1/1/2016,Courtier B,2490,0.05,500000,100000,52297
215,1/1/2016,Courtier B,2490,0.05,500000,100000,52297
221,1/1/2016,Courtier B,2147,0.05,500000,100000,45087
223,1/1/2016,Courtier B,3424,0.05,1500000,500000,71909
225,1/1/2016,Courtier B,5126,0.05,1500000,500000,107664
233,1/1/2016,Courtier B,2490,0.05,500000,100000,52297
236,1/1/2016,Courtier B,2572,0.05,1000000,250000,54023
243,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
245,1/1/2016,Courtier B,3637,0.05,1500000,500000,76383
249,1/1/2016,Courtier B,2952,0.05,1000000,250000,61994
252,1/1/2016,Courtier B,2490,0.05,500000,100000,52297
263,1/1/2016,Courtier B,2380,0.05,500000,100000,49983
264,1/1/2016,Courtier B,4420,0.05,1500000,500000,92820
265,1/1/2016,Courtier B,2210,0.05,500000,100000,46410
278,1/1/2016,Courtier B,2147,0.05,500000,100000,45087
282,1/1/2016,Courtier B,2312,0.05,500000,100000,48558
284,1/1/2016,Courtier B,2490,0.05,500000,100000,52297
286,1/1/2016,Courtier B,2312,0.05,500000,100000,48558
289,1/1/2016,Courtier B,2750,0.05,1000000,250000,57750
298,1/1/2016,Courtier B,2380,0.05,500000,100000,49983
308,1/1/2016,Courtier B,3524,0.05,1500000,500000,74019
315,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
319,1/1/2016,Courtier B,4294,0.05,1500000,500000,90174
327,1/1/2016,Courtier B,2490,0.05,1000000,250000,52297
341,1/1/2016,Courtier B,2312,0.05,500000,100000,48558
342,1/1/2016,Courtier B,2147,0.05,500000,100000,45087
343,1/1/2016,Courtier B,4980,0.05,1500000,500000,104595
345,1/1/2016,Courtier B,2952,0.05,1000000,250000,61994
348,1/1/2016,Courtier B,2490,0.05,1000000,250000,52297
349,1/1/2016,Courtier B,4294,0.05,1500000,500000,90174
358,1/1/2016,Courtier B,2952,0.05,1000000,250000,61994
366,1/1/2016,Courtier B,4420,0.05,2000000,1000000,92820
376,1/1/2016,Courtier B,3524,0.05,1500000,500000,74019
386,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
387,1/1/2016,Courtier B,2147,0.05,500000,100000,45087
390,1/1/2016,Courtier B,3179,0.05,1000000,250000,66768
402,1/1/2016,Courtier B,2490,0.05,500000,100000,52297
408,1/1/2016,Courtier B,2312,0.05,1000000,250000,48558
412,1/1/2016,Courtier B,5133,0.05,2000000,1000000,107800
418,1/1/2016,Courtier B,2952,0.05,1000000,250000,61994
421,1/1/2016,Courtier B,2147,0.05,500000,100000,45087
422,1/1/2016,Courtier B,2566,0.05,500000,100000,53900
423,1/1/2016,Courtier B,2750,0.05,1000000,250000,57750
424,1/1/2016,Courtier B,2563,0.05,500000,100000,53832
434,1/1/2016,Courtier B,2312,0.05,1000000,250000,48558
443,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
444,1/1/2016,Courtier B,4000,0.05,1500000,500000,84000
445,1/1/2016,Courtier B,2000,0.05,500000,100000,42000
446,1/1/2016,Courtier B,2651,0.05,500000,100000,55678
447,1/1/2016,Courtier B,2147,0.05,500000,100000,45087
448,1/1/2016,Courtier B,2641,0.05,500000,100000,55481
449,1/1/2016,Courtier B,4980,0.05,2000000,1000000,104595
450,1/1/2016,Courtier B,4980,0.05,2000000,1000000,104595
